"Station_ID","Year_UTC","Month_UTC","Day_UTC","Latitude","Longitude","Depth","CTDTEMP_ITS90","CTDTEMP_flag","Salinity_PSS78","Salinity_flag","DIC","DIC_flag","TA","TA_flag","Cst_Cnt","Btl_Cnt","Depthm","T_degC","Salnty","O2ml_L","STheta","O2Sat","Oxy__mol_Kg","BtlNum","RecInd","T_prec","T_qual","S_prec","S_qual","P_qual","O_qual","SThtaq","O2Satq","ChlorA","Chlqua","Phaeop","Phaqua","PO4uM","PO4q","SiO3uM","SiO3qu","NO2uM","NO2q","NO3uM","NO3q","NH3uM","NH3q","C14As1","C14A1p","C14A1q","C14As2","C14A2p","C14A2q","DarkAs","DarkAp","DarkAq","MeanAs","MeanAp","MeanAq","LightP","R_Depth","R_TEMP","R_Sal","R_DYNHT","R_Nuts","R_Oxy__mol_Kg","DIC1","DIC2","TA1","TA2","pH1","pH2","Cruise","Cruz_Sta","DbSta_ID","Quarter","Distance","Julian_Date","Julian_Day","Lat_Dec","Lat_Deg","Lat_Min","Lon_Dec","Lon_Deg","Lon_Min","Rpt_Line","St_Line","Ac_Line","Rpt_Sta","St_Station","Ac_Sta","Bottom_D","Secchi","ForelU","Order_Occ","Event_Num","Cruz_Leg","Data_Or","Cruz_Num","IntChl","IntC14","TimeZone","Wave_Dir","Wave_Ht","Wave_Prd","Wind_Dir","Wind_Spd","Barometer","Dry_T","Wet_T","Wea","Cloud_Typ","Cloud_Amt","Visibility","Depthm_Upper","Depthm_Lower","TAlk","TCO2","pHin","pCO2in","fCO2in","HCO3in","CO3in","CO2in","BAlkin","OHin","PAlkin","SiAlkin","Hfreein","RFin","OmegaCAin","OmegaARin","xCO2in","pHout","pCO2out","fCO2out","HCO3out","CO3out","CO2out","BAlkout","OHout","PAlkout","SiAlkout","Hfreeout","RFout","OmegaCAout","OmegaARout","xCO2out","pHinTOTAL","pHinSWS","pHinFREE","pHinNBS","pHoutTOTAL","pHoutSWS","pHoutFREE","pHoutNBS","TEMPIN","TEMPOUT","PRESIN","PRESOUT","PAR1TYPE","PAR2TYPE","K1K2CONSTANTS","KSO4CONSTANTS","pHSCALEIN","SAL","PO4","SI","K0input","K1input","K2input","pK1input","pK2input","KWinput","KBinput","KFinput","KSinput","KP1input","KP2input","KP3input","KSiinput","K0output","K1output","K2output","pK1output","pK2output","KWoutput","KBoutput","KFoutput","KSoutput","KP1output","KP2output","KP3output","KSioutput","TB","TF","TS","na.rm.x","cruise","order_occupied","tow_number","latitude","longitude","line","station","volume_sampled","small_plankton","total_plankton","na.rm.y","Date"
"063.3 060.0",2016,4,20,37.0425,-123.195,2,NA,2,NA,2,1990.4,2,2227.4,2,34167,858665,2,13.544,33.0132,6.903,24.74613,116.4,301.43,12,3,2,NA,3,6,NA,NA,6,NA,0.065,NA,0.024,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,2,13.54,319,0.006,NA,301.43,NA,NA,NA,NA,NA,NA,201604,20160406330600,6330600,2,-42.75,37367,111,37.04062,37,2.437,-123.1988,-123,11.928,63.3,63.3,63.3,60,60,60.1,2632,NA,NA,95,1167,3,3101,1604,16.8,NA,NA,NA,NA,NA,12,4,1012.6,14.7,14.4,NA,NA,NA,NA,2.9,1.1,2227.4,1990.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.544,13.544,2.01105,2.01105,2,1,4,1,1,33.0132,NA,NA,0.0396114916526878,1.09282345161006e-06,6.7420423229731e-10,5.96144999375445,9.17120852553561,1.98997025326157e-14,1.79757855462814e-09,0.0028225173523185,0.149562502111842,0.0245552300701413,8.58863738129203e-07,8.98534621507254e-10,2.54380440576854e-10,0.0396114916526878,1.09282345161006e-06,6.7420423229731e-10,5.96144999375445,9.17120852553561,1.98997025326157e-14,1.79757855462814e-09,0.0028225173523185,0.149562502111842,0.0245552300701413,8.58863738129203e-07,8.98534621507254e-10,2.54380440576854e-10,392.102492571429,64.4472745942859,26632.6295461411,TRUE,201604,95,1,37.04,-123.198333,63.3,60,410.8,200,239,TRUE,2016-04-01
"070.0 090.0",2016,4,20,34.8821,-124.4805,2,NA,2,NA,2,2001,2,2208.8,2,34182,859002,2,15.517,33.0228,5.815,24.33593,102.05,254,12,3,2,NA,3,NA,NA,NA,NA,NA,0.063,NA,0.013,NA,NA,9,NA,9,NA,9,NA,9,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,2,15.52,358.1,0.007,NA,254,NA,NA,NA,NA,NA,NA,201604,20160407000900,7000900,2,-155.887,37364,108,34.88363,34,53.018,-124.4785,-124,28.71,70,70,70,90,90,90,4359,NA,NA,80,995,3,3101,1604,29.2,NA,NA,NA,NA,NA,18,2,1016.8,15,14.5,NA,NA,NA,NA,2.9,1.1,2208.8,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.517,15.517,2.01105,2.01105,2,1,4,1,1,33.0228,NA,NA,0.0372888187786718,1.14475088760946e-06,7.27660096342142e-10,5.94128901105972,9.13807144040572,2.41281845765276e-14,1.90088215177206e-09,0.00271800333944445,0.138227051529001,0.0244881646125591,8.93836178271702e-07,9.98712403203068e-10,2.77040351264524e-10,0.0372888187786718,1.14475088760946e-06,7.27660096342142e-10,5.94128901105972,9.13807144040572,2.41281845765276e-14,1.90088215177206e-09,0.00271800333944445,0.138227051529001,0.0244881646125591,8.93836178271702e-07,9.98712403203068e-10,2.77040351264524e-10,392.216513142857,64.466015396029,26640.3741223604,TRUE,201604,80,1,34.883333,-124.478333,70,90,416.5,41,41,TRUE,2016-04-01
"076.7 049.0",2017,8,20,35.0882,-120.7774,2,NA,2,NA,2,2048.8,2,2239,2,34591,869451,2,13.54,33.5172,5.936,25.13665,100.37,259.03,11,3,2,NA,3,NA,NA,NA,NA,NA,8.138,NA,1.639,NA,0.65,NA,8.76,NA,0.215,NA,4.4,NA,0,4,239.482,NA,NA,202.269,NA,NA,0.93,NA,NA,220.876,NA,NA,0.93,2,13.54,281.8,0.006,0,259.03,NA,NA,NA,NA,NA,NA,201708,20170807670490,7670490,3,-6.995,37482,226,35.08842,35,5.305,-120.77548,-120,46.529,76.7,76.7,76.7,49,49,49,65,7,NA,64,832,1,3101,1708,146.4,2239.8,8,20,3,6,10,8,1012.4,14.5,14.2,4,7,8,5,2.9,1.1,2239,2048.8,8.03020693903818,408.925002416352,407.420693970588,1894.15073999316,138.55454826122,16.0947117456198,64.6665980358524,2.14995671750656,0.699995698231725,0.233122827222601,0.00791238581610886,12.2769786358867,3.33153458633164,2.12751964548366,415.160446048962,8.03020693903818,408.925002416352,407.420693970588,1894.15073999316,138.55454826122,16.0947117456198,64.6665980358524,2.14995671750656,0.699995698231725,0.233122827222601,0.00791238581610886,12.2769786358867,3.33153458633164,2.12751964548366,415.160446048962,8.03020693903818,8.02182881893126,8.10169254424684,8.14468792243856,8.03020693903818,8.02182881893126,8.10169254424684,8.14468792243856,13.54,13.54,2.01105,2.01105,2,1,4,1,1,33.5172,0.65,8.76,0.0395039132371161,1.09780295644849e-06,6.82337609564087e-10,5.95947560397203,9.16600069031177,2.00550051497713e-14,1.80916782793788e-09,0.0028493184733666,0.151121724208668,0.0246392761587511,8.64199917732266e-07,8.94735261081075e-10,2.55027994233174e-10,0.0395039132371161,1.09780295644849e-06,6.82337609564087e-10,5.95947560397203,9.16600069031177,2.00550051497713e-14,1.80916782793788e-09,0.0028493184733666,0.151121724208668,0.0246392761587511,8.64199917732266e-07,8.94735261081075e-10,2.55027994233174e-10,398.088572571429,65.4311666857984,27039.2197976543,TRUE,201708,64,1,35.088333,-120.776666,76.7,49,116.4,120,619,TRUE,2017-08-01
"076.7 070.0",2017,8,20,34.3882,-122.2461,2,NA,2,NA,2,2006.8,2,2240.6,2,34595,869543,2,16.92,33.5084,5.82,24.38957,105.32,254.01,20,3,2,NA,3,NA,NA,NA,NA,NA,0.911,NA,0.197,NA,0.21,NA,0.4,NA,0,8,0.05,NA,0.18,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,2,16.92,353,0.007,0.18,254.01,NA,NA,NA,NA,NA,NA,201708,20170807670700,7670700,3,-90.825,37482,226,34.38808,34,23.285,-122.24668,-122,14.801,76.7,76.7,76.7,70,70,70,4062,13,NA,60,775,1,3101,1708,45.7,NA,NA,34,4,7,33,18,1013.7,17.8,16.8,2,6,8,7,2.9,1.1,2240.6,2006.8,8.07238314206581,366.329373765808,365.038211351883,1826.22031197916,167.558478754142,13.0212092666986,75.7375891597134,3.28858511606796,0.231732405228045,0.0134607388054945,0.00702622955140202,10.9704684825753,4.03780499382562,2.59752414670731,373.297048579316,8.07238314206581,366.329373765808,365.038211351883,1826.22031197916,167.558478754142,13.0212092666986,75.7375891597134,3.28858511606796,0.231732405228045,0.0134607388054945,0.00702622955140202,10.9704684825753,4.03780499382562,2.59752414670731,373.297048579316,8.07238314206581,8.06364172483335,8.15327766563442,8.19376594666891,8.07238314206581,8.06364172483335,8.15327766563442,8.19376594666891,16.92,16.92,2.01105,2.01105,2,1,4,1,1,33.5084,0.21,0.4,0.0356708116075729,1.18718584063553e-06,7.76658496755787e-10,5.9254812917909,9.10976990214756,2.78372253252927e-14,1.98948272934901e-09,0.00267054882589492,0.132029322531068,0.0245124950918569,9.24277762314478e-07,1.07254336529829e-09,2.94776014635061e-10,0.0356708116075729,1.18718584063553e-06,7.76658496755787e-10,5.9254812917909,9.10976990214756,2.78372253252927e-14,1.98948272934901e-09,0.00267054882589492,0.132029322531068,0.0245124950918569,9.24277762314478e-07,1.07254336529829e-09,2.94776014635061e-10,397.984053714286,65.4139876175339,27032.1206027866,TRUE,201708,60,1,34.388333,-122.246666,76.7,70,498,200,309,TRUE,2017-08-01
"080.0 051.0",2014,4,1,34.45,-120.5239,35.5,10.41,2,33.73,2,2158.775,2,2244.05,2,33532,842500.25,35.5,10.41025,33.729525,3.26825,25.8897875,51.9675,142.2837,4.25,3,2,NA,3,NA,NA,NA,NA,NA,1.86375,NA,0.55525,NA,1.6975,NA,20.225,NA,0.1525,NA,19.8,NA,0.27,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,35.5,10.405,211.025,0.07775,0.27,142.359875,2158.8025,NA,2244.025,NA,NA,NA,201404,20140408000510,8000510,2,-2.707,37359,103,34.44958,34,26.975,-120.52332,-120,31.399,80,80,80,51,51,51,73,10,NA,57,669,1,3101,1404,138,NA,NA,34,1,4,33,10,1020,12.8,11,2,7,7,7,36.4,34.6,2244.05,2158.775,7.78812688259899,768.449340767952,765.501601251022,2047.16389381571,78.0834472071075,33.5276589771824,37.8031225933136,0.940291891105164,1.73566723311648,0.257060664929583,0.0143741304134339,16.5611790445897,1.86394065063765,1.18448427767048,777.877659789778,7.78812688259899,768.449340767952,765.501601251022,2047.16389381571,78.0834472071075,33.5276589771824,37.8031225933136,0.940291891105164,1.73566723311648,0.257060664929583,0.0143741304134339,16.5611790445897,1.86394065063765,1.18448427767048,777.877659789778,7.78812688259899,7.78008631200056,7.85147355907725,7.89599027199483,7.78812688259899,7.78008631200056,7.85147355907725,7.89599027199483,10.41025,10.41025,35.6961375,35.6961375,2,1,4,1,1,33.729525,1.6975,20.225,0.043621480266566,1.02189626475674e-06,6.08044623962876e-10,5.99062933196567,9.21616446965108,1.47795387324059e-14,1.66420925199282e-09,0.0030458937556833,0.173412051287599,0.0247806064196982,8.12451594612482e-07,7.54901798234318e-10,2.22977058565271e-10,0.043621480266566,1.02189626475674e-06,6.08044623962876e-10,5.99062933196567,9.21616446965108,1.47795387324059e-14,1.66420925199282e-09,0.0030458937556833,0.173412051287599,0.0247806064196982,8.12451594612482e-07,7.54901798234318e-10,2.22977058565271e-10,400.610386928571,65.8456605118507,27210.5080420045,TRUE,201404,57,1,34.45,-120.523333,80,51,110,273,273,TRUE,2014-04-01
"080.0 051.0",2014,7,1,34.45,-120.5239,34.25,14.3425,2,33.5125,2,2060.475,2,2235.725,2,33604,844338.75,34.25,14.342,33.51405,5.0635,24.9208025,88.05,220.665525,4.25,3,2,NA,3,NA,NA,NA,NA,NA,1.58225,NA,0.36775,NA,0.83,NA,8.52,NA,0.23525,NA,6.875,NA,0.4625,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,34.5,14.3375,303.325,0.11225,0.4625,220.7309,2060.485,NA,2235.7425,NA,NA,NA,201407,20140708000510,8000510,3,-2.709,37457,201,34.44932,34,26.959,-120.52307,-120,31.384,80,80,80,51,51,51,72,13,NA,69,1064,1,3101,1407,104.1,NA,NA,21,1,9,23,6,1014.8,22.9,19.8,1,6,4,7,35.15,33.35,2235.725,2060.475,7.9687294394345,494.826089347609,493.003970788486,1909.8227088839,131.045057433582,19.6072336825188,60.4740915494661,2.325995254381,0.871597404617826,0.151819762524551,0.00941966379325913,13.0742353187302,3.14178464640886,2.01530050168709,502.526391429397,7.9687294394345,494.826089347609,493.003970788486,1909.8227088839,131.045057433582,19.6072336825188,60.4740915494661,2.325995254381,0.871597404617826,0.151819762524551,0.00941966379325913,13.0742353187302,3.14178464640886,2.01530050168709,502.526391429397,7.9687294394345,7.96027766821459,8.04254977901271,8.08490446422259,7.9687294394345,7.96027766821459,8.04254977901271,8.08490446422259,14.342,14.342,34.6906125,34.6906125,2,1,4,1,1,33.51405,0.83,8.52,0.0388283180127356,1.12303961349334e-06,7.09836286438404e-10,5.95077100461039,9.15219086416189,2.27986003380363e-14,1.86335655801164e-09,0.00281685168427872,0.148254815723123,0.0246319825666124,8.80633320259878e-07,9.50109969727225e-10,2.66901999340641e-10,0.0388283180127356,1.12303961349334e-06,7.09836286438404e-10,5.95077100461039,9.15219086416189,2.27986003380363e-14,1.86335655801164e-09,0.00281685168427872,0.148254815723123,0.0246319825666124,8.80633320259878e-07,9.50109969727225e-10,2.66901999340641e-10,398.051159571429,65.4250173602264,27036.6786085823,TRUE,201407,69,1,34.45,-120.523333,80,51,164.2,158,213,TRUE,2014-07-01
"080.0 051.0",2014,11,1,34.45,-120.5239,36.5,14.515,2,33.3675,2,2046.25,2,2227.025,2,33679,846297.75,36.5,14.51825,33.365625,5.2245,24.80531,90.1675,227.681225,4.25,3,2,NA,3,NA,NA,NA,NA,NA,0.3685,NA,0.29175,NA,0.7,NA,6.4025,NA,0.24775,NA,4.4575,NA,0.3175,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,36.75,14.5125,314.425,0.109,0.3175,227.811975,2046.2625,NA,2227.0175,NA,NA,NA,201411,20141108000510,8000510,4,-2.841,37582,326,34.44812,34,26.887,-120.5254,-120,31.524,80,80,80,51,51,51,73,NA,NA,70,757,1,3101,1411,27.7,NA,NA,NA,NA,NA,34,16,1018,16.1,13.2,NA,NA,NA,NA,37.4,35.6,2227.025,2046.25,7.99373514216565,448.093292571569,446.462278532592,1895.90299768741,133.120398351578,17.2266039610108,61.74973753538,2.23263550419438,0.75023770170328,0.158966525046025,0.008586116122398,12.5962590595814,3.1882433141226,2.04143396602438,455.361594178322,7.99373514216565,448.093292571569,446.462278532592,1895.90299768741,133.120398351578,17.2266039610108,61.74973753538,2.23263550419438,0.75023770170328,0.158966525046025,0.008586116122398,12.5962590595814,3.1882433141226,2.04143396602438,455.361594178322,7.99373514216565,7.98527330090949,8.06769282412334,8.11045142806496,7.99373514216565,7.98527330090949,8.06769282412334,8.11045142806496,14.51825,14.51825,36.95304375,36.95304375,2,1,4,1,1,33.365625,0.7,6.4025,0.0384401459002041,1.12604834154953e-06,7.0893292614786e-10,5.94874176162652,9.15026840759358,2.23396068746837e-14,1.86542251869049e-09,0.00279426665984482,0.145600665514299,0.0246240143566123,8.82685785007961e-07,9.50964721755313e-10,2.67434173650769e-10,0.0384401459002041,1.12604834154953e-06,7.0893292614786e-10,5.94874176162652,9.15026840759358,2.23396068746837e-14,1.86542251869049e-09,0.00279426665984482,0.145600665514299,0.0246240143566123,8.82685785007961e-07,9.50964721755313e-10,2.67434173650769e-10,396.288294642857,65.1352669957765,26916.9401996918,TRUE,201411,70,1,34.45,-120.525,80,51,150.6,53,53,TRUE,2014-11-01
"080.0 051.0",2015,1,1,34.45,-120.5239,35.5,14.58,2,33.3525,2,2037.8,2,2229.675,2,33781,848883,35.5,14.5805,33.35185,5.3325,24.7906025,92.1125,232.391225,4,3,2,NA,3,NA,NA,NA,NA,NA,0.55675,NA,0.3325,NA,0.635,NA,5.8375,NA,0.24125,NA,3.4475,NA,0.1375,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,35.5,14.5775,315.825,0.11675,0.1375,232.500125,2037.7825,NA,2229.6675,NA,NA,NA,201501,20150108000510,8000510,1,-2.686,37283,27,34.45118,34,27.071,-120.5247,-120,31.482,80,80,80,51,51,51,71,NA,NA,59,710,1,3101,1501,39,NA,NA,NA,NA,NA,10,16,1017,15.9,15,NA,NA,NA,NA,36.4,34.6,2229.675,2037.8,8.01874753724453,420.665227077172,419.136367490487,1881.71552530168,139.985559351466,16.0989153468545,64.8095604617168,2.35217771935055,0.683769266128925,0.152647497759785,0.00810733244496832,12.2236262989537,3.35340325780217,2.14668789114909,427.509675389322,8.01874753724453,420.665227077172,419.136367490487,1881.71552530168,139.985559351466,16.0989153468545,64.8095604617168,2.35217771935055,0.683769266128925,0.152647497759785,0.00810733244496832,12.2236262989537,3.35340325780217,2.14668789114909,427.509675389322,8.01874753724453,8.01027892037933,8.09280752170804,8.1355941608381,8.01874753724453,8.01027892037933,8.09280752170804,8.1355941608381,14.5805,14.5805,35.6961375,35.6961375,2,1,4,1,1,33.35185,0.635,5.8375,0.0383153862876297,1.12728975938492e-06,7.0948505373091e-10,5.94804319838087,9.14929760251064,2.22858047485027e-14,1.86705764835918e-09,0.00278879291351932,0.14490353707839,0.0246222594102615,8.83581794202672e-07,9.51929441395804e-10,2.67768156579554e-10,0.0383153862876297,1.12728975938492e-06,7.0948505373091e-10,5.94804319838087,9.14929760251064,2.22858047485027e-14,1.86705764835918e-09,0.00278879291351932,0.14490353707839,0.0246222594102615,8.83581794202672e-07,9.51929441395804e-10,2.67768156579554e-10,396.124687,65.1083758974421,26905.8275395437,TRUE,201501,59,1,34.45,-120.523333,80,51,111.4,54,54,TRUE,2015-01-01
"080.0 051.0",2015,4,1,34.45,-120.5239,35.5,10.1625,2,33.635,2,2146.175,2,2240.425,2,33855,850801.25,35.5,10.16075,33.634925,3.7435,25.8598,59.0525,162.974575,5,3,2,NA,3,NA,NA,NA,NA,NA,1.74,NA,0.72075,NA,1.64,NA,21.205,NA,0.23125,NA,19.3,NA,0.1675,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,35.75,10.1575,213.825,0.079,0.1675,162.930975,2146.1525,NA,2240.4275,NA,NA,NA,201504,20150408000510,8000510,2,-2.72,37361,105,34.44952,34,26.971,-120.52363,-120,31.418,80,80,80,51,51,51,74,6,NA,55,646,1,3101,1504,152.1,NA,NA,30,5,5,32,27,1012.7,14.8,11.7,1,2,1,8,36.4,34.6,2240.425,2146.175,7.82103197942471,703.119655575037,700.415733535288,2032.99573010141,82.2901990324819,30.8890708661071,39.9047479055463,0.977606774629946,1.68488420785826,0.29726733515482,0.0132914537342928,16.2395354825257,1.96503278258639,1.24784413130487,711.629866856156,7.82103197942471,703.119655575037,700.415733535288,2032.99573010141,82.2901990324819,30.8890708661071,39.9047479055463,0.977606774629946,1.68488420785826,0.29726733515482,0.0132914537342928,16.2395354825257,1.96503278258639,1.24784413130487,711.629866856156,7.82103197942471,7.81302693916061,7.88370909179455,7.92856060591357,7.82103197942471,7.81302693916061,7.88370909179455,7.92856060591357,10.16075,10.16075,35.94751875,35.94751875,2,1,4,1,1,33.634925,1.64,21.205,0.043997273460149,1.01461075799549e-06,6.00637522615284e-10,5.99371351920507,9.2214272639602,1.43751622655852e-14,1.65011469091969e-09,0.00305543323983467,0.174838632900966,0.0247697203452739,8.07094724789694e-07,7.451205956076e-10,2.20326371649122e-10,0.043997273460149,1.01461075799549e-06,6.00637522615284e-10,5.99371351920507,9.2214272639602,1.43751622655852e-14,1.65011469091969e-09,0.00305543323983467,0.174838632900966,0.0247697203452739,8.07094724789694e-07,7.451205956076e-10,2.20326371649122e-10,399.486809214286,65.6609855280073,27134.1916971769,TRUE,201504,71,1,34.45,-120.523333,80,51,147.1,190,190,TRUE,2015-04-01
"080.0 051.0",2015,7,1,34.45,-120.5239,34.2,13.406,2,33.426,2,2069.14,2,2232.32,2,33924,852554.4,34.2,13.4032,33.42718,5.0716,25.072052,86.27,221.632,5.8,3,2,NA,3,NA,NA,NA,NA,NA,1.8754,NA,0.7002,NA,0.832,NA,7.638,NA,0.1412,NA,7.578,NA,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2,13.398,288.88,0.1068,0.178,221.632,2069.128,NA,2232.32,NA,NA,NA,201507,20150708000510,8000510,3,-2.713,37456,200,34.44992,34,26.995,-120.52393,-120,31.436,80,80,80,51,51,51,74,10,NA,47,581,1,3101,1507,118.2,1291.7,8,22,1,8,2,5,1015,23.8,19.8,2,6,8,8,35.1,33.3,2232.32,2069.14,7.95721097963432,508.048420745223,506.161453675529,1925.36099569465,123.255342047908,20.5236622574388,57.4577237603995,1.99471281226165,0.871918590209238,0.135571786043953,0.00970109115196345,13.4850640830204,2.9531797632262,1.88855653106859,515.506059331225,7.95721097963432,508.048420745223,506.161453675529,1925.36099569465,123.255342047908,20.5236622574388,57.4577237603995,1.99471281226165,0.871918590209238,0.135571786043953,0.00970109115196345,13.4850640830204,2.9531797632262,1.88855653106859,515.506059331225,7.95721097963432,7.94886581436564,8.02827796854134,8.07158867167043,7.95721097963432,7.94886581436564,8.02827796854134,8.07158867167043,13.4032,13.4032,34.388955,34.388955,2,1,4,1,1,33.42718,0.832,7.638,0.0398428636685882,1.0971429594073e-06,6.80806886859251e-10,5.96031342856891,9.16858441025654,2.02645939075239e-14,1.80938750512934e-09,0.00285988764284851,0.152898872553338,0.0246592426827023,8.63103955042419e-07,8.97553174022978e-10,2.55194996170902e-10,0.0398428636685882,1.0971429594073e-06,6.80806886859251e-10,5.96031342856891,9.16858441025654,2.02645939075239e-14,1.80938750512934e-09,0.00285988764284851,0.152898872553338,0.0246592426827023,8.63103955042419e-07,8.97553174022978e-10,2.55194996170902e-10,397.019392171429,65.2554326261199,26966.5982610645,TRUE,201507,47,1,34.45,-120.523333,80,51,108.5,83,83,TRUE,2015-07-01
"080.0 051.0",2015,11,20,34.45,-120.5239,41.4,14.0882,2,33.3042,2,2058.1,2.4,2264.78,2.4,33995,854350.8,41.4,14.0702,33.30402,4.9196,24.856992,84.168,214.83,4.2,3,2,NA,3,NA,NA,NA,NA,NA,0.4398,NA,0.1798,NA,0.766,NA,7.28,NA,0.1108,NA,5.556,NA,0.01,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,41.6,14.066,309.64,0.1354,0.01,214.83,NA,NA,NA,NA,NA,NA,201511,20151108000510,8000510,4,-2.661,37565,309,34.4511,34,27.066,-120.52388,-120,31.433,80,80,80,51,51,51,74,NA,NA,37,427,1,3101,1511,33,NA,NA,31,2,6,5,6,1020.4,15.2,9.8,1,7,1,7,42.3,40.5,2264.78,2058.1,8.04065583856989,418.666043845655,417.134002540613,1890.68309220635,151.115661157567,16.3012466360888,68.3657128488304,2.47161218992744,0.829347891673596,0.208603303262384,0.00804725158089665,12.2295082146598,3.61547756342114,2.31197057665987,425.25722429734,8.04065583856989,418.666043845655,417.134002540613,1890.68309220635,151.115661157567,16.3012466360888,68.3657128488304,2.47161218992744,0.829347891673596,0.208603303262384,0.00804725158089665,12.2295082146598,3.61547756342114,2.31197057665987,425.25722429734,8.04065583856989,8.03224852583141,8.11329589421141,8.15655098975418,8.04065583856989,8.03224852583141,8.11329589421141,8.15655098975418,14.0702,14.0702,41.82984,41.82984,2,1,4,1,1,33.30402,0.766,7.28,0.0389560462726118,1.11406473907305e-06,6.95509674005432e-10,5.95326603229982,9.15822299415401,2.12806985731976e-14,1.84091867806742e-09,0.00281518173536017,0.14797560242156,0.0246374246543564,8.74401071821716e-07,9.28105467090382e-10,2.62184228117387e-10,0.0389560462726118,1.11406473907305e-06,6.95509674005432e-10,5.95326603229982,9.15822299415401,2.12806985731976e-14,1.84091867806742e-09,0.00281518173536017,0.14797560242156,0.0246374246543564,8.74401071821716e-07,9.28105467090382e-10,2.62184228117387e-10,395.556603257143,65.0150037570908,26867.2418019845,TRUE,201511,37,1,34.45,-120.525,80,51,124.1,64,64,TRUE,2015-11-01
"080.0 051.0",2016,1,20,34.45,-120.5239,27.6666666666667,14.48,2,33.5723333333333,2,2059.9,2.33333333333333,2247.7,2,34095,856796.333333333,27.6666666666667,14.4813333333333,33.5712,5.19133333333333,24.9842833333333,89.53,226.6,4.66666666666667,3,2,NA,3,NA,NA,NA,NA,NA,0.737666666666667,NA,0.341333333333333,NA,0.756666666666667,NA,6.17333333333333,NA,0.525,NA,3.71333333333333,NA,0.343333333333333,NA,NA,NA,9,NA,NA,9,NA,NA,9,NA,NA,9,NA,27.6666666666667,14.4766666666667,297.166666666667,0.0826666666666667,0.343333333333333,226.6,NA,NA,NA,NA,NA,NA,201601,20160108000510,8000510,1,-2.673,37275,19,34.4505,34,27.03,-120.5235,-120,31.41,80,80,80,51,51,51,65,NA,NA,60,697,1,3101,1601,45.1,NA,NA,NA,NA,NA,28,13,1021.1,14.9,13.9,NA,NA,NA,NA,28.5666666666667,26.7666666666667,2247.7,2059.9,8.00747151443014,435.321600832537,433.739222107271,1905.63044170935,137.629779395561,16.6397788950901,63.5977289204453,2.24509672820898,0.814525272242415,0.162673770289619,0.00829222364122603,12.3647044009422,3.29515491378467,2.10925269588941,442.383899719754,8.00747151443014,435.321600832537,433.739222107271,1905.63044170935,137.629779395561,16.6397788950901,63.5977289204453,2.24509672820898,0.814525272242415,0.162673770289619,0.00829222364122603,12.3647044009422,3.29515491378467,2.10925269588941,442.383899719754,8.00747151443014,7.99899320503719,8.08141979648572,8.123784009931,8.00747151443014,7.99899320503719,8.08141979648572,8.123784009931,14.4813333333333,14.4813333333333,27.819525,27.819525,2,1,4,1,1,33.5712,0.756666666666667,6.17333333333333,0.0383617412162897,1.12601671607686e-06,7.09814745806191e-10,5.94845559560818,9.14885839437096,2.2061367186194e-14,1.86506209612299e-09,0.0028039359560133,0.145904617347766,0.0246537757090756,8.83645788602077e-07,9.43510245544137e-10,2.66567541081196e-10,0.0383617412162897,1.12601671607686e-06,7.09814745806191e-10,5.94845559560818,9.14885839437096,2.2061367186194e-14,1.86506209612299e-09,0.0028039359560133,0.145904617347766,0.0246537757090756,8.83645788602077e-07,9.43510245544137e-10,2.66567541081196e-10,398.729938285714,65.5365836956033,27082.7830388878,TRUE,201601,60,1,34.451666,-120.521666,80,51,204.2,59,59,TRUE,2016-01-01
